song_id,danceability,energy,key,loudness,mode,explicit,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0f0k0OJ9VbaLHX4J1t2qUy,0.545,0.797,10.0,-5.315,1.0,0.0,0.0252,0.257,3.86e-06,0.0884,0.852,100.464
1NiYESS8ipaA6UgBxPTXuy,0.783,0.952,1.0,-4.841,0.0,0.0,0.039,0.161,0.145,0.0758,0.774,135.02
3PefhAnxRxxxeimzWetwnT,0.621,0.814,9.0,-8.132,0.0,0.0,0.0335,0.0112,0.000669,0.129,0.505,114.61
5NSNSFqQAAnLxGiY2u8C7A,0.507,0.494,5.0,-8.224,1.0,0.0,0.0629,0.869,0.0194,0.199,0.703,105.591
7EZhegO3ISq6QRWyDWplxc,0.552,0.565,0.0,-11.78,1.0,0.0,0.0354,0.0785,1.37e-05,0.146,0.755,133.535
71hXKEDaKHgYrn7kdLFpOx,0.888,0.457,8.0,-7.956,0.0,1.0,0.297,0.0291,0.0,0.159,0.644,94.047
1q1oeOO8LQJH0qWI549cqN,0.319,0.321,9.0,-11.911,1.0,0.0,0.0289,0.304,0.0,0.144,0.252,106.762
1HdoZ6Ql7nx5HfQrlVYtoM,0.608,0.816,9.0,-9.19,0.0,0.0,0.0345,0.0269,0.000618,0.0539,0.858,96.792
714hERk9U1W8FMYkoC83CO,0.791,0.734,5.0,-5.464,1.0,0.0,0.0629,0.522,0.00165,0.167,0.962,105.854
3Z9uims4BXsx1DtETrjNDo,0.774,0.847,7.0,-5.533,0.0,0.0,0.036,0.00995,0.772,0.0469,0.961,127.986
6HZ42MWX5X0PyhH41oXlpH,0.715,0.648,7.0,-9.117,1.0,0.0,0.0502,0.262,0.489,0.0872,0.221,117.005
6OjX0Mnl4H52z9WSuXidzr,0.277,0.306,4.0,-11.987,1.0,0.0,0.0317,0.889,0.0868,0.112,0.131,109.189
4gtveYcEmSpu5zr0ml7DGe,0.539,0.415,0.0,-11.161,1.0,0.0,0.0426,0.766,3.6e-06,0.224,0.263,118.98
